data_source,service_category_1,year_month,claim_count
cms_synthetic,ancillary,201503,71
cms_synthetic,ancillary,201504,89
cms_synthetic,ancillary,201505,96
cms_synthetic,ancillary,201506,86
cms_synthetic,ancillary,201507,79
cms_synthetic,ancillary,201508,81
cms_synthetic,ancillary,201509,78
cms_synthetic,ancillary,201510,85
cms_synthetic,ancillary,201511,93
cms_synthetic,ancillary,201512,94
cms_synthetic,ancillary,201601,87
cms_synthetic,ancillary,201602,95
cms_synthetic,ancillary,201603,99
cms_synthetic,ancillary,201604,94
cms_synthetic,ancillary,201605,91
cms_synthetic,ancillary,201606,79
cms_synthetic,ancillary,201607,97
cms_synthetic,ancillary,201608,89
cms_synthetic,ancillary,201609,93
cms_synthetic,ancillary,201610,74
cms_synthetic,ancillary,201611,90
cms_synthetic,ancillary,201612,99
cms_synthetic,ancillary,201701,90
cms_synthetic,ancillary,201702,83
cms_synthetic,ancillary,201703,118
cms_synthetic,ancillary,201704,73
cms_synthetic,ancillary,201705,105
cms_synthetic,ancillary,201706,98
cms_synthetic,ancillary,201707,99
cms_synthetic,ancillary,201708,100
cms_synthetic,ancillary,201709,100
cms_synthetic,ancillary,201710,106
cms_synthetic,ancillary,201711,86
cms_synthetic,ancillary,201712,103
cms_synthetic,ancillary,201801,89
cms_synthetic,ancillary,201802,83
cms_synthetic,ancillary,201803,116
cms_synthetic,ancillary,201804,101
cms_synthetic,ancillary,201805,106
cms_synthetic,ancillary,201806,98
cms_synthetic,ancillary,201807,101
cms_synthetic,ancillary,201808,86
cms_synthetic,ancillary,201809,90
cms_synthetic,ancillary,201810,108
cms_synthetic,ancillary,201811,93
cms_synthetic,ancillary,201812,99
cms_synthetic,ancillary,201901,95
cms_synthetic,ancillary,201902,79
cms_synthetic,ancillary,201903,123
cms_synthetic,ancillary,201904,84
cms_synthetic,ancillary,201905,108
cms_synthetic,ancillary,201906,115
cms_synthetic,ancillary,201907,95
cms_synthetic,ancillary,201908,79
cms_synthetic,ancillary,201909,109
cms_synthetic,ancillary,201910,103
cms_synthetic,ancillary,201911,107
cms_synthetic,ancillary,201912,109
cms_synthetic,ancillary,202001,127
cms_synthetic,ancillary,202002,90
cms_synthetic,ancillary,202003,131
cms_synthetic,ancillary,202004,91
cms_synthetic,ancillary,202005,102
cms_synthetic,ancillary,202006,93
cms_synthetic,ancillary,202007,117
cms_synthetic,ancillary,202008,107
cms_synthetic,ancillary,202009,117
cms_synthetic,ancillary,202010,98
cms_synthetic,ancillary,202011,116
cms_synthetic,ancillary,202012,118
cms_synthetic,ancillary,202101,107
cms_synthetic,ancillary,202102,98
cms_synthetic,ancillary,202103,128
cms_synthetic,ancillary,202104,131
cms_synthetic,ancillary,202105,107
cms_synthetic,ancillary,202106,116
cms_synthetic,ancillary,202107,116
cms_synthetic,ancillary,202108,96
cms_synthetic,ancillary,202109,115
cms_synthetic,ancillary,202110,137
cms_synthetic,ancillary,202111,110
